,header
59,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:25.084 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-petits-cadeaux-homme HTTP/1.1"" 200 50244 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
60,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:25.713 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-pour-les-tous-petits HTTP/1.1"" 200 47493 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
61,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:26.349 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-bijoux-montres-femme HTTP/1.1"" 200 41742 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
62,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:28.945 +0000] fr.tommy.com ""GET /fr.tommy.com/pulls-et-cardigans-femme-tommy-jeans HTTP/1.1"" 200 49438 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
63,"Row(('66.249.73.146 - - [16/Nov/2018:21:08:29.573 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-lingerie-pyjamas-femme HTTP/1.1"" 200 49690 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
64,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:31.432 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-accessoires-sacs-enfant HTTP/1.1"" 200 42023 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
65,"Row(('66.249.73.146 - - [16/Nov/2018:21:08:34.003 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-petites-attentions-femme HTTP/1.1"" 200 48832 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
66,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:35.568 +0000] fr.tommy.com ""GET /fr.tommy.com/chaussures-accessoires-homme-tommy-jeans HTTP/1.1"" 200 49399 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
67,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:36.682 +0000] fr.tommy.com ""GET /fr.tommy.com/pantalons-chinos-jupes-femme-tommy-jeans HTTP/1.1"" 200 48805 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
68,"Row(('66.249.73.146 - - [16/Nov/2018:21:08:37.707 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit-sous-vetements-pyjamas-homme HTTP/1.1"" 200 52550 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
69,"Row(('66.249.65.129 - - [16/Nov/2018:21:08:57.103 +0000] it.tommy.com ""GET /it.tommy.com/gonne-donne HTTP/1.1"" 200 46764 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
70,"Row(('66.249.65.142 - - [16/Nov/2018:21:10:17.087 +0000] de.tommy.com ""GET /de.tommy.com/damenbekleidung-sale HTTP/1.1"" 200 61911 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
71,"Row(('66.249.65.142 - - [16/Nov/2018:21:10:18.602 +0000] de.tommy.com ""GET /de.tommy.com/damenbekleidung-sale HTTP/1.1"" 200 59587 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
72,"Row(('66.249.65.142 - - [16/Nov/2018:21:10:20.110 +0000] de.tommy.com ""GET /de.tommy.com/damenbekleidung-sale HTTP/1.1"" 200 59587 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
73,"Row(('66.249.65.142 - - [16/Nov/2018:21:12:15.114 +0000] de.tommy.com ""GET /de.tommy.com/jungen-t-shirts-poloshirts HTTP/1.1"" 200 49247 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
74,"Row(('66.249.73.144 - - [16/Nov/2018:21:14:20.502 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 47875 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
75,"Row(('66.249.65.218 - - [16/Nov/2018:21:32:03.092 +0000] lu.tommy.com ""GET /lu.tommy.com/baskets-homme HTTP/1.1"" 200 51541 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
76,"Row(('66.249.65.129 - - [16/Nov/2018:21:35:33.414 +0000] it.tommy.com ""GET /it.tommy.com/borse-accessori-donne HTTP/1.1"" 200 49409 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
77,"Row(('66.249.65.142 - - [16/Nov/2018:21:37:01.233 +0000] de.tommy.com ""GET /de.tommy.com/herren-freizeitschuhe HTTP/1.1"" 200 46001 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
78,"Row(('66.249.65.194 - - [16/Nov/2018:21:37:52.714 +0000] nl.tommy.com ""GET /nl.tommy.com/meisjes-ondergoed-nachtkleding HTTP/1.1"" 200 31666 ""-"" ""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
79,"Row(('66.249.65.118 - - [16/Nov/2018:21:38:32.109 +0000] pt.tommy.com ""GET /pt.tommy.com/tommy-x-gigi HTTP/1.1"" 302 2533 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""LOCATION=302-/womens-new-arrivals""',), {'header': 0})"
80,"Row(('66.249.65.118 - - [16/Nov/2018:21:38:32.489 +0000] pt.tommy.com ""GET /pt.tommy.com/womens-new-arrivals HTTP/1.1"" 200 49886 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
81,"Row(('66.249.73.144 - - [16/Nov/2018:21:38:35.034 +0000] fr.tommy.com ""GET /fr.tommy.com/chaussures-de-costume-homme HTTP/1.1"" 200 38246 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
82,"Row(('66.249.73.144 - - [16/Nov/2018:21:38:39.042 +0000] fr.tommy.com ""GET /fr.tommy.com/bottes-femme HTTP/1.1"" 200 47875 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
83,"Row(('66.249.65.162 - - [16/Nov/2018:21:40:03.970 +0000] cz.tommy.com ""GET /cz.tommy.com/mens-hats-gloves-scarves HTTP/1.1"" 200 50632 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
